# Deficit band — 36 column(s) · 5 seeds 11,100011,200011,300011,400011 · ITER=6000 · var 0.5
# PHASE10 §5: a deficit is REAL only if it survives at >=3 seeds with |Δ| > 1σ of the paired band.

| kit | class | T | sim-haste | borrowed | round-1 pct | band mean pct | band sd | seeds borrowed wins | verdict |
|---|---|---|---|---|---|---|---|---|---|
| isc+mqg | medlong | 229 | 40 | plan@70 | 0.380 | +0.368 | 0.020 | 5/5 | **REAL** |
| isc+skull | long | 293 | 130 | plan@185 | 0.289 | +0.283 | 0.014 | 5/5 | **REAL** |
| isc+skull | medium | 177 | 40 | plan@70 | 0.246 | +0.219 | 0.033 | 5/5 | **REAL** |
| scb+mqg | short | 80 | 20 | plan@0 | 0.221 | +0.260 | 0.035 | 5/5 | **REAL** |
| mqg+skull | long | 283 | 0 | plan@30 | 0.185 | +0.156 | 0.016 | 5/5 | **REAL** |
| isc+mqg | long | 281 | 140 | plan@260 | 0.166 | +0.135 | 0.019 | 5/5 | **REAL** |
| isc+mqg | medlong | 229 | 140 | plan@110 | 0.162 | +0.163 | 0.001 | 5/5 | **REAL** |
| scb+skull | medlong | 218 | 260 | plan@210 | 0.159 | +0.175 | 0.029 | 5/5 | **REAL** |
| isc+mqg | short | 108 | 40 | plan@20 | 0.133 | +0.197 | 0.047 | 5/5 | **REAL** |
| isc+skull | xl | 417 | 155 | plan@185 | 0.130 | +0.113 | 0.016 | 5/5 | **REAL** |
| isc+scb | medium | 184 | 95 | plan@400 | 0.129 | +0.131 | 0.004 | 5/5 | **REAL** |
| mqg+skull | medlong | 226 | 160 | plan@190 | 0.096 | +0.097 | 0.006 | 5/5 | **REAL** |
| mqg+skull | xl | 395 | 265 | plan@235 | 0.090 | +0.096 | 0.007 | 5/5 | **REAL** |
| scb+skull | medlong | 218 | 90 | plan@260 | 0.086 | +0.054 | 0.038 | 5/5 | **REAL** |
| isc+skull | xl | 417 | 70 | plan@100 | 0.083 | +0.081 | 0.001 | 5/5 | **REAL** |
| scb+skull | xl | 437 | 30 | plan@90 | 0.078 | +0.063 | 0.013 | 5/5 | **REAL** |
| isc+skull | medium | 177 | 20 | plan@70 | 0.075 | +0.059 | 0.046 | 4/5 | **REAL** |
| mqg+skull | xl | 395 | 70 | plan@100 | 0.072 | +0.079 | 0.007 | 5/5 | **REAL** |
| isc+mqg | xl | 451 | 40 | plan@70 | 0.071 | +0.072 | 0.009 | 5/5 | **REAL** |
| isc+mqg | long | 281 | 40 | plan@70 | 0.070 | +0.068 | 0.023 | 5/5 | **REAL** |
| scb+skull | long | 366 | 240 | plan@260 | 0.070 | +0.078 | 0.008 | 5/5 | **REAL** |
| mqg+skull | medlong | 226 | 235 | plan@265 | 0.062 | +0.070 | 0.013 | 5/5 | **REAL** |
| isc+skull | short | 99 | 20 | plan@100 | 0.059 | +0.068 | 0.023 | 5/5 | **REAL** |
| isc+skull | xl | 417 | 20 | plan@40 | 0.051 | +0.055 | 0.004 | 5/5 | **REAL** |
| isc+skull | xl | 417 | 130 | plan@155 | 0.044 | +0.053 | 0.020 | 5/5 | **REAL** |
| scb+mqg | long | 309 | 265 | plan@400 | 0.035 | +0.050 | 0.018 | 5/5 | **REAL** |
| scb+skull | xl | 437 | 90 | plan@60 | 0.034 | +0.009 | 0.018 | 3/5 | not resolvable |
| scb+skull | medlong | 218 | 240 | plan@210 | 0.030 | +0.030 | 0.045 | 4/5 | not resolvable |
| isc+skull | medlong | 251 | 230 | plan@260 | 0.027 | +0.055 | 0.024 | 5/5 | **REAL** |
| isc+skull | short | 99 | 130 | plan@155 | 0.019 | +0.024 | 0.016 | 4/5 | **REAL** |
| isc+skull | medium | 177 | 130 | plan@230 | 0.018 | +0.037 | 0.029 | 5/5 | **REAL** |
| mqg+skull | xl | 395 | 295 | plan@400 | 0.014 | -0.023 | 0.031 | 2/5 | not resolvable |
| scb+mqg | short | 80 | 75 | plan@20 | 0.013 | +0.005 | 0.019 | 4/5 | not resolvable |
| scb+skull | long | 366 | 90 | plan@210 | 0.011 | -0.008 | 0.028 | 3/5 | not resolvable |
| isc+mqg | medium | 176 | 40 | plan@20 | 0.008 | +0.010 | 0.001 | 5/5 | **REAL** |
| isc+skull | medlong | 251 | 20 | plan@70 | 0.004 | -0.078 | 0.054 | 1/5 | not resolvable |

**30 real · 6 not resolvable** at 5 seeds, ITER=6000.
(A column is "not resolvable" when it does not clear its own paired band — that is a statement about THIS instrument at THIS iteration count, not a proof the model is right there. ACCEPTANCE's bar is still zero columns.)
